r star_mass gas_mass dm_mass star_density gas_density dm_density
0.07937681956573406 160759.72319294675 19615.049227388427 9642123.53802098 2053666.9978168625 234483.82636615122 121878395.70835617
0.2363312804264993 275806.585941841 75370.31655245626 30921810.567516908 493628.28906890255 233889.9989365361 90982114.94770373
0.39328574128726457 322139.8852904731 161295.43161147533 58286369.289506756 119462.47110644105 218576.2143995522 70406594.69387697
0.5502402021480298 347568.7244002883 289671.5660311834 89607080.12993896 46861.985374676085 234330.05393560795 57634087.17572243
0.7071946630087951 367819.55877528974 445561.8384753667 123587751.84905817 29036.91113011055 221884.60420162664 48667796.92317006
0.8641491238695602 379958.0268331624 610890.5862793302 159813528.16303244 14243.661824858684 192847.27654534532 42469029.80573638
1.0211035847303256 393609.655215995 799853.8528646147 197321416.88360038 13556.92286287816 186716.24269631 37218743.02498574
1.1780580455910907 407396.9232900646 1002591.9638169133 235913375.7576205 11867.466062933321 173760.90323966654 33196103.3420989
1.335012506451856 420155.1701546553 1207245.207814151 275261837.2668635 9690.63274947617 154864.91304122374 29870066.042676054
1.4919669673126212 430555.345447433 1434211.6700970337 315647439.48568636 7068.510698894776 153747.8130929891 27434065.094075307
1.6489214281733866 436796.7853804455 1660120.330489582 356444143.6328313 3838.232704634511 138513.02933617783 25076761.329028577
1.8058758890341517 446028.648590369 1896731.9311283897 397080349.08193266 5183.796324638602 132504.56338101905 22808199.847910505
1.9628303498949173 453038.3730468808 2150589.9283402 437512880.74462783 3621.301215036196 130826.52832993433 20879988.643643107
2.1197848107556823 460983.5407452356 2405717.7497100956 478018622.33976394 3800.648976778963 121770.83211051229 19369606.932778195
2.2767392716164476 466409.63622231776 2657570.3627661187 518288778.1266607 2416.688084003064 111940.58288284208 17929905.384053797
2.433693732477213 471014.91847801005 2902018.409021723 558682827.6453805 1918.8313155472495 101658.16777439596 16825574.48388043
2.5906481933379784 474722.6314130607 3150196.3903256077 598537188.5595679 1451.256339593984 96969.58351476771 15595346.195912875
2.7476026541987437 479097.45334136294 3390680.109628263 638154086.487761 1614.5552875786975 88606.3451997453 14617135.774020893
2.904557115059509 481760.1651140575 3627003.690677549 677086753.1242946 929.5884216408217 82377.17681340303 13588678.51712056
3.061511575920274 484986.91896115296 3845377.409529006 715182198.4821448 1068.7506670818564 72224.7657307345 12614982.48248926
3.2184660367810394 488147.62414121325 4064769.0857866877 752771744.4350507 995.8215625689971 69028.86313958149 11840594.979458852
