r star_mass gas_mass dm_mass star_density gas_density dm_density
0.09594467111402163 1221650.46870741 24896.595640061536 18113826.74586469 10820478.846666627 215055.35072728392 162733572.71416628
0.28322827538182016 2275641.9051319603 89433.61017453366 57451025.18857856 3162429.461626549 192004.06962366306 118589350.4490069
0.4705118796496186 2776349.3061313797 167183.00353514115 105875641.14274183 904344.268651657 139716.9210900883 87708430.25651316
0.657795483917417 3100755.3640590766 249074.21793876283 159989982.87199354 419100.75283267605 105416.77606634516 70050140.40282604
0.8450790881852156 3329272.2361847847 343052.4150062643 217220439.67437187 229795.37775047912 94243.23802648553 57639214.44581758
1.032362692453014 3505975.936694102 443992.61244197114 276468862.56326294 145456.69510608594 82904.86317898634 48832137.37637948
1.2196462967208124 3640541.4773830427 553189.8834748568 337535332.1077703 93760.59014005297 75942.32555050585 42593390.11744643
1.4069299009886111 3752659.5120155886 657266.098927611 399779730.6934747 67721.00420642081 62762.59657563668 37630205.74939368
1.5942135052564095 3840032.573655729 777330.6144332591 462662369.71584356 46574.847663040724 63911.457287101955 33546228.39030388
1.7814971095242083 3907746.673348262 890142.0890418043 525058819.69969445 32300.88037809478 53746.3180466148 29784835.790013455
1.9687807137920066 3962890.598795077 1006165.1722187332 588211772.3187683 23802.397567069365 50024.68194571693 27276284.32469943
2.156064318059805 3999146.819180852 1115100.277220373 649628335.5145637 14290.294819936276 42893.38230934203 24220696.1293392
2.3433479223276032 4033372.036830663 1234115.7998413416 710641305.4930565 12411.65849226852 43121.15296657691 22137384.681164943
2.530631526595402 4062078.5322160088 1354585.9757990895 771486268.0624863 9639.880136697862 40421.06166103998 20441745.340877164
2.717915130863201 4084866.545756008 1456704.5438354148 832665368.2722874 7125.099775455569 31904.713072959512 19136978.341712594
2.905198735130999 4102047.357056197 1579529.741784788 894055650.9795142 5025.603186379025 35902.347719276426 17964533.541867096
3.0924823393987975 4132891.761575101 1702713.8831584142 956032551.735146 8475.972421026601 33828.36030262438 17037366.631236628
3.279765943666596 4157886.671419697 1823605.310080822 1016809935.9053996 6476.331871945474 31304.419178928496 15753174.577657448
3.4670495479343946 4170443.833557875 1937911.9681419982 1075360987.258347 3077.8810130191796 28001.544206936385 14356013.33141162
3.6543331522021933 4187668.391885263 2066539.5018999868 1132875836.490592 4005.5331428517866 29895.926580236628 13378958.872891344
3.8416167564699917 4206355.014468696 2193465.793322913 1190160731.4478624 4133.682821272432 28063.248794622054 12675604.32316006
4.02890036073779 4220533.936492511 2317312.5438346686 1246576493.1046162 2990.728987382105 26110.268827314037 11902806.423430108
4.216183965005589 4273246.050477278 2455437.532099536 1301384452.0143018 10624.567360797548 27827.723226297094 11049764.075801222
4.403467569273387 4286424.063384671 2585307.81663183 1355332663.5122452 2543.170629005889 25052.477787389664 10413703.760618757
4.590751173541186 4300657.34364129 2724681.1780343372 1408564731.696696 2634.7633868515004 25789.419369395833 9856144.978942478
4.778034777808985 4311458.476464407 2878401.1374089415 1461220506.3103938 1921.0575395949809 27329.744682611552 9367186.199553886
4.9653183820767826 4318847.96850978 3029909.1057343567 1513290601.4645643 1264.7009874655782 25920.97808558699 8913516.253529811
5.152601986344582 4326462.766884253 3165658.448510039 1564694298.5157468 1255.8916842350338 22381.12601050038 8479519.151738541
5.339885590612379 4332983.052251193 3336190.257813695 1615002662.3469477 1037.6598768143924 27130.105153799686 8007698.0170632
5.527169194880178 4337386.55457079 3502012.6358469115 1665190886.8018353 677.0423622437111 25487.377706123672 7717822.21687184
5.714452799147978 4342778.270409184 3663426.784797175 1714631994.5102744 801.8123078454132 23997.059572473147 7353697.110991017
5.901736403415775 4347933.645792704 3827033.7702472913 1763198337.3849323 742.3365739764331 23551.524093454296 6994304.06646309
6.089020007683574 4351553.312536367 4007654.464352211 1811669882.782968 505.17466186572204 25201.281698969513 6765895.755192201
6.276303611951372 4355333.177965663 4205163.383087142 1859219733.9033499 511.79114460877884 26735.634809889267 6439144.329398055
6.463587216219171 4357921.009511158 4368595.350700732 1906696375.091291 340.2379571623049 21482.06554118862 6242903.02222429
6.65087082048697 4361477.766239081 4573040.918301215 1953873606.4273262 454.46037441500397 26116.5893155775 6028809.757172046
6.838154424754768 4363978.57063724 4765494.969552871 2001053653.5299938 310.78581846411765 23911.664280209017 5864009.643964674
7.025438029022567 4365347.385496943 4960788.268386994 2048050675.801559 165.5738231345287 23617.815739778922 5685515.423379656
7.212721633290364 4366254.893078689 5159519.397842087 2094523026.890631 106.92308075095193 23409.73269470509 5476034.774573897
7.4000052375581635 4368169.308517599 5368322.342621984 2140970974.6688893 219.84901986678955 23973.864599099674 5334615.8981156675
7.587288841825963 4369373.565467617 5562744.180376449 2186981540.0302567 134.88166449138842 21771.85477727498 5153919.533696804
7.77457244609376 4371149.590243723 5780727.317769364 2231953087.5042896 194.13009993104185 23822.468554513234 4916161.297653859
7.961856050361559 4371753.968793654 6001493.296158203 2277330105.37338 64.50822527484067 23559.247793760725 4843782.671228204
8.149139654629357 4374068.078015657 6202987.338590732 2321523562.668009 241.3195270104453 21008.60005789367 4609008.744924218
8.336423258897156 4374657.20447757 6424874.545086967 2364980227.693841 60.054996602308194 22615.286876008864 4430332.52494242
8.523706863164954 4375748.161021967 6650716.445589475 2407837134.426984 108.76754325330967 22512.74291144224 4273172.707298357
8.710990467432751 4376726.603899604 6883954.084036159 2451050704.933557 95.452720477465 22750.250162194992 4216083.975589172
8.89827407170055 4376726.603899604 7084760.706564105 2493889778.478029 0.0 19174.758461742244 4091565.468495496
